frame_count,frame_path,timestamp,start_seconds,drone_latitude,drone_longitude,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_latitude,ground_longitude
1,data/processed/frames_v23_1fps/frame_000001.jpg,2026-06-09 08:28:34.672,0.0,32.102603,35.209708,0.0,334.7978612094982,trajectory,45.0,fixed,32.102603,35.209708
31,data/processed/frames_v23_1fps/frame_000002.jpg,2026-06-09 08:28:35.673,1.0,32.102603,35.209708,0.0,334.7978612094982,trajectory,45.0,fixed,32.102603,35.209708
61,data/processed/frames_v23_1fps/frame_000003.jpg,2026-06-09 08:28:36.674,2.001,32.102603,35.209708,0.0,334.7978612094982,trajectory,45.0,fixed,32.102603,35.209708
91,data/processed/frames_v23_1fps/frame_000004.jpg,2026-06-09 08:28:37.675,3.002,32.102603,35.209708,0.0,334.7978612094982,trajectory,45.0,fixed,32.102603,35.209708
121,data/processed/frames_v23_1fps/frame_000005.jpg,2026-06-09 08:28:38.676,4.003,32.102602,35.209709,0.1,334.7978612094982,trajectory,45.0,fixed,32.102602812805685,35.209708548441284
151,data/processed/frames_v23_1fps/frame_000006.jpg,2026-06-09 08:28:39.678,5.004,32.102601,35.209709,0.4,334.7978612094982,trajectory,45.0,fixed,32.10260425122277,35.20970719376513
181,data/processed/frames_v23_1fps/frame_000007.jpg,2026-06-09 08:28:40.678,6.005,32.102601,35.209709,1.2,334.7978612094982,trajectory,45.0,fixed,32.10261075366831,35.209703581295386
211,data/processed/frames_v23_1fps/frame_000008.jpg,2026-06-09 08:28:41.679,7.006,32.102599,35.209709,2.1,334.7978612094982,trajectory,45.0,fixed,32.10261606891954,35.20969951726693
241,data/processed/frames_v23_1fps/frame_000009.jpg,2026-06-09 08:28:42.681,8.006,32.102599,35.209709,3.0,334.7978612094982,trajectory,45.0,fixed,32.10262338417077,35.20969545323847
271,data/processed/frames_v23_1fps/frame_000010.jpg,2026-06-09 08:28:43.681,9.007,32.102599,35.209707,4.1,334.7978612094982,trajectory,45.0,fixed,32.10263232503339,35.209688486092574
301,data/processed/frames_v23_1fps/frame_000011.jpg,2026-06-09 08:28:44.682,10.008,32.102599,35.209707,5.7,334.7978612094982,trajectory,45.0,fixed,32.102645329924464,35.20968126115309
331,data/processed/frames_v23_1fps/frame_000012.jpg,2026-06-09 08:28:45.683,11.009,32.102598,35.209706,7.1,334.7978612094982,trajectory,45.0,fixed,32.102655709204164,35.20967393933104
361,data/processed/frames_v23_1fps/frame_000013.jpg,2026-06-09 08:28:46.683,12.01,32.102597,35.209705,8.6,334.7978612094982,trajectory,45.0,fixed,32.10266690128955,35.209666165950274
391,data/processed/frames_v23_1fps/frame_000014.jpg,2026-06-09 08:28:47.684,13.011,32.102596,35.209704,9.9,334.7978612094982,trajectory,45.0,fixed,32.10267646776355,35.20965929568694
421,data/processed/frames_v23_1fps/frame_000015.jpg,2026-06-09 08:28:48.685,14.012,32.102596,35.209704,11.6,334.7978612094982,trajectory,45.0,fixed,32.10269028546032,35.20965161918874
451,data/processed/frames_v23_1fps/frame_000016.jpg,2026-06-09 08:28:49.687,15.013,32.102596,35.209703,13.0,334.7978612094982,trajectory,45.0,fixed,32.10270166474001,35.209644297366694
481,data/processed/frames_v23_1fps/frame_000017.jpg,2026-06-09 08:28:50.687,16.014,32.102595,35.209703,13.5,334.7978612094982,trajectory,45.0,fixed,32.10270472876848,35.209642039573104
511,data/processed/frames_v23_1fps/frame_000018.jpg,2026-06-09 08:28:51.688,17.015,32.102594,35.209702,13.5,334.7978612094982,trajectory,45.0,fixed,32.10270372876848,35.20964103957311
541,data/processed/frames_v23_1fps/frame_000019.jpg,2026-06-09 08:28:52.689,18.016,32.102593,35.209701,13.5,334.7978612094982,trajectory,45.0,fixed,32.10270272876848,35.20964003957311
570,data/processed/frames_v23_1fps/frame_000020.jpg,2026-06-09 08:28:53.656,18.983,32.102593,35.209701,13.5,334.7978612094982,trajectory,45.0,fixed,32.10270272876848,35.20964003957311
600,data/processed/frames_v23_1fps/frame_000021.jpg,2026-06-09 08:28:54.658,19.984,32.102592,35.209701,14.3,334.7978612094982,trajectory,45.0,fixed,32.10270823121402,35.20963642710336
630,data/processed/frames_v23_1fps/frame_000022.jpg,2026-06-09 08:28:55.658,20.985,32.102592,35.2097,18.7,334.7978612094982,trajectory,45.0,fixed,32.102743994664486,35.20961555851978
660,data/processed/frames_v23_1fps/frame_000023.jpg,2026-06-09 08:28:56.659,21.986,32.102593,35.2097,24.9,334.7978612094982,trajectory,45.0,fixed,32.102795388617416,35.209587561879275
690,data/processed/frames_v23_1fps/frame_000024.jpg,2026-06-09 08:28:57.660,22.987,32.102594,35.209702,30.9,334.7978612094982,trajectory,45.0,fixed,32.10284515695896,35.20956246835622
720,data/processed/frames_v23_1fps/frame_000025.jpg,2026-06-09 08:28:58.661,23.988,32.102595,35.209704,36.9,334.7978612094982,trajectory,45.0,fixed,32.102894925300504,35.209537374833154
750,data/processed/frames_v23_1fps/frame_000026.jpg,2026-06-09 08:28:59.662,24.989,32.102595,35.209705,42.8,334.7978612094982,trajectory,45.0,fixed,32.10294288083636,35.209511732868805
780,data/processed/frames_v23_1fps/frame_000027.jpg,2026-06-09 08:29:00.663,25.99,32.102596,35.209703,48.9,334.7978612094982,trajectory,45.0,fixed,32.102993461983594,35.20948218778701
810,data/processed/frames_v23_1fps/frame_000028.jpg,2026-06-09 08:29:01.664,26.991,32.102596,35.209702,54.8,334.7978612094982,trajectory,45.0,fixed,32.10304141751945,35.209454545822666
840,data/processed/frames_v23_1fps/frame_000029.jpg,2026-06-09 08:29:02.664,27.991,32.102593,35.2097,60.7,334.7978612094982,trajectory,45.0,fixed,32.1030863730553,35.20942590385832
870,data/processed/frames_v23_1fps/frame_000030.jpg,2026-06-09 08:29:03.666,28.992,32.102592,35.209696,66.7,334.7978612094982,trajectory,45.0,fixed,32.10313414139685,35.20939481033526
900,data/processed/frames_v23_1fps/frame_000031.jpg,2026-06-09 08:29:04.667,29.993,32.102592,35.209694,72.6,334.7978612094982,trajectory,45.0,fixed,32.103182096932706,35.209366168370906
930,data/processed/frames_v23_1fps/frame_000032.jpg,2026-06-09 08:29:05.667,30.994,32.102591,35.209694,78.5,334.7978612094982,trajectory,45.0,fixed,32.10322905246855,35.20933952640656
960,data/processed/frames_v23_1fps/frame_000033.jpg,2026-06-09 08:29:06.668,31.995,32.10259,35.209693,84.4,334.7978612094982,trajectory,45.0,fixed,32.10327600800441,35.20931188444221
990,data/processed/frames_v23_1fps/frame_000034.jpg,2026-06-09 08:29:07.669,32.996,32.102589,35.209693,90.6,334.7978612094982,trajectory,45.0,fixed,32.10332540195734,35.20928388780171
1020,data/processed/frames_v23_1fps/frame_000035.jpg,2026-06-09 08:29:08.670,33.997,32.102589,35.209692,95.9,334.7978612094982,trajectory,45.0,fixed,32.10336848065904,35.20925895518966
1050,data/processed/frames_v23_1fps/frame_000036.jpg,2026-06-09 08:29:09.671,34.998,32.102589,35.209691,97.2,334.7978612094982,trajectory,45.0,fixed,32.103379047133046,35.209252084926334
1080,data/processed/frames_v23_1fps/frame_000037.jpg,2026-06-09 08:29:10.672,35.999,32.102588,35.209691,97.8,334.7978612094982,trajectory,45.0,fixed,32.103382923967196,35.20924937557403
1110,data/processed/frames_v23_1fps/frame_000038.jpg,2026-06-09 08:29:11.673,37.0,32.102588,35.209689,98.8,334.7978612094982,trajectory,45.0,fixed,32.103391052024115,35.20924285998685
1140,data/processed/frames_v23_1fps/frame_000039.jpg,2026-06-09 08:29:12.674,38.001,32.102588,35.209689,99.7,334.7978612094982,trajectory,45.0,fixed,32.10339836727535,35.20923879595839
1170,data/processed/frames_v23_1fps/frame_000040.jpg,2026-06-09 08:29:13.675,39.002,32.102587,35.209689,99.8,334.7978612094982,trajectory,45.0,fixed,32.103398180081044,35.20923834439967
1200,data/processed/frames_v23_1fps/frame_000041.jpg,2026-06-09 08:29:14.676,40.003,32.102603,35.20968,99.7,337.6354068423432,trajectory,45.0,fixed,32.10343125298156,35.20927770569475
1230,data/processed/frames_v23_1fps/frame_000042.jpg,2026-06-09 08:29:15.677,41.003,32.102657,35.209655,99.7,342.16359916846915,trajectory,45.0,fixed,32.10350957233595,35.20933115469413
1260,data/processed/frames_v23_1fps/frame_000043.jpg,2026-06-09 08:29:16.679,42.004,32.102732,35.209631,99.7,349.46625561861094,trajectory,45.0,fixed,32.10361252681531,35.209437713625924
1290,data/processed/frames_v23_1fps/frame_000044.jpg,2026-06-09 08:29:17.679,43.005,32.102821,35.209619,99.8,355.870647891379,trajectory,45.0,fixed,32.10371519131314,35.209542790513076
1320,data/processed/frames_v23_1fps/frame_000045.jpg,2026-06-09 08:29:18.680,44.006,32.102908,35.209616,99.8,0.7543884379754218,trajectory,45.0,fixed,32.10380444094517,35.20962993431521
1350,data/processed/frames_v23_1fps/frame_000046.jpg,2026-06-09 08:29:19.681,45.007,32.103014,35.209622,99.8,5.238077322836318,trajectory,45.0,fixed,32.10390677474377,35.20971862064326
1380,data/processed/frames_v23_1fps/frame_000047.jpg,2026-06-09 08:29:20.682,46.008,32.103139,35.209641,99.8,9.342553615440579,trajectory,45.0,fixed,32.10402362671102,35.20981280766699
1410,data/processed/frames_v23_1fps/frame_000048.jpg,2026-06-09 08:29:21.682,47.009,32.103256,35.209669,99.8,13.13279946539916,trajectory,45.0,fixed,32.10412907115775,35.2099094645138
1440,data/processed/frames_v23_1fps/frame_000049.jpg,2026-06-09 08:29:22.683,48.01,32.103375,35.209706,99.8,16.711711157532477,trajectory,45.0,fixed,32.10423365305757,35.21001033272927
1470,data/processed/frames_v23_1fps/frame_000050.jpg,2026-06-09 08:29:23.685,49.011,32.103493,35.209753,99.8,20.470468808119392,trajectory,45.0,fixed,32.104332905802394,35.2101231279807
1500,data/processed/frames_v23_1fps/frame_000051.jpg,2026-06-09 08:29:24.685,50.012,32.103611,35.20981,99.8,18.899597920695214,trajectory,45.0,fixed,32.104459185209926,35.21015280818902
1530,data/processed/frames_v23_1fps/frame_000052.jpg,2026-06-09 08:29:25.686,51.013,32.103733,35.20985,99.8,24.02926937812441,trajectory,45.0,fixed,32.10455182415796,35.21028096008315
1560,data/processed/frames_v23_1fps/frame_000053.jpg,2026-06-09 08:29:26.687,52.014,32.103839,35.20993,99.8,35.69241348748915,trajectory,45.0,fixed,32.10456711729456,35.21054747201938
1590,data/processed/frames_v23_1fps/frame_000054.jpg,2026-06-09 08:29:27.688,53.014,32.103937,35.210023,99.8,41.89829461939905,trajectory,45.0,fixed,32.104604307005694,35.21072977139849
1620,data/processed/frames_v23_1fps/frame_000055.jpg,2026-06-09 08:29:28.689,54.015,32.104025,35.210127,99.8,47.70582716068748,trajectory,45.0,fixed,32.10462830083066,35.210909854649344
1650,data/processed/frames_v23_1fps/frame_000056.jpg,2026-06-09 08:29:29.689,55.016,32.104105,35.210241,99.8,53.90297038055792,trajectory,45.0,fixed,32.104633187970386,35.21109616147592
1679,data/processed/frames_v23_1fps/frame_000057.jpg,2026-06-09 08:29:30.657,55.984,32.104166,35.210352,99.8,59.34971170078495,trajectory,45.0,fixed,32.10462304224188,35.21126248572598
1709,data/processed/frames_v23_1fps/frame_000058.jpg,2026-06-09 08:29:31.658,56.985,32.104224,35.210482,99.8,64.80651900695494,trajectory,45.0,fixed,32.104605626778536,35.2114396671989
1739,data/processed/frames_v23_1fps/frame_000059.jpg,2026-06-09 08:29:32.659,57.986,32.104272,35.210618,99.8,68.3795181669883,trajectory,45.0,fixed,32.104602328485136,35.21160188161703
