query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,1,data/processed/frames_v14_1fps/frame_000001.jpg,v13,24879,7.705727126850735,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9972053170204163,435,434,0.9977011494252873,7.705727126850735
v14,31,data/processed/frames_v14_1fps/frame_000002.jpg,v13,24879,10.584161668384652,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9946855902671814,419,417,0.9952267303102625,10.584161668384652
v14,61,data/processed/frames_v14_1fps/frame_000003.jpg,v13,24879,13.147461137161068,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9943768382072449,374,369,0.9866310160427807,13.147461137161068
v14,91,data/processed/frames_v14_1fps/frame_000004.jpg,v13,24879,19.438987817045273,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9918917417526245,309,303,0.9805825242718447,19.438987817045273
v14,121,data/processed/frames_v14_1fps/frame_000005.jpg,v13,24879,29.02566558608148,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9891085028648376,259,253,0.9768339768339769,29.02566558608148
v14,151,data/processed/frames_v14_1fps/frame_000006.jpg,v13,24879,39.06546929264645,v13,24669,data/processed/frames_v13_1fps/frame_000824.jpg,10,0.98183274269104,206,192,0.9320388349514563,39.15886616700602
v14,181,data/processed/frames_v14_1fps/frame_000007.jpg,v13,24819,49.43162548324295,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,2,0.978141725063324,181,168,0.9281767955801105,49.43162548324295
v14,211,data/processed/frames_v14_1fps/frame_000008.jpg,v13,24879,60.0659577744013,v13,24789,data/processed/frames_v13_1fps/frame_000828.jpg,6,0.969418466091156,143,130,0.9090909090909091,60.157702723340975
v14,241,data/processed/frames_v14_1fps/frame_000009.jpg,v13,23949,169.98116022600587,v13,24789,data/processed/frames_v13_1fps/frame_000828.jpg,8,0.962332010269165,126,106,0.8412698412698413,70.69131326988175
v14,271,data/processed/frames_v14_1fps/frame_000010.jpg,v13,23949,180.5224186207325,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,5,0.9573370814323425,97,75,0.7731958762886598,81.0640649432275
