query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1,32.10449723,35.20438618,32.10449723,35.20438618,32.10455678,35.20442785,7.7057,7.7057
31,32.10449723,35.20438618,32.10449723,35.20438618,32.10457277,35.20445435,10.5841,10.5841
61,32.10449723,35.20438618,32.10449723,35.20438618,32.10455933,35.20450478,13.1473,13.1473
91,32.10449723,35.20438618,32.10449723,35.20438618,32.10452795,35.20458911,19.4386,19.4386
121,32.10449723,35.20438618,32.10449723,35.20438618,32.10449042,35.20469388,29.0251,29.0251
151,32.10449723,35.20438518,32.10449723,35.20438538,32.10444876,35.20479648,39.1581,39.1392
181,32.10449723,35.20438618,32.10449723,35.20438598,32.10440898,35.20489992,49.4307,49.4490
211,32.10449723,35.20438618,32.10449723,35.20438618,32.10437242,35.20500588,60.0648,60.0651
241,32.10449723,35.20438518,32.10449723,35.20438538,32.10433141,35.20510882,70.6900,70.6716
271,32.10421719,35.20488768,32.10427377,35.20478615,32.10429408,35.20521170,31.7305,40.1917
301,32.10405969,35.20497567,32.10409238,35.20495634,32.10425441,35.20531382,38.5567,38.2318
331,32.10405969,35.20497567,32.10406018,35.20497540,32.10421174,35.20541540,44.7873,44.7906
361,32.10383368,35.20532567,32.10387935,35.20525495,32.10417642,35.20552035,42.3401,41.4721
391,32.10390338,35.20570108,32.10388999,35.20562415,32.10413842,35.20562488,27.1336,27.6549
421,32.10346263,35.20588822,32.10355147,35.20584925,32.10410009,35.20572923,72.5289,62.1126
451,32.10346263,35.20588822,32.10346399,35.20588765,32.10406006,35.20583017,66.7313,66.5760
481,32.10346263,35.20588822,32.10346263,35.20588822,32.10402106,35.20593217,62.3029,62.3029
511,32.10366294,35.20606830,32.10362246,35.20603192,32.10398408,35.20603470,35.8898,40.2560
541,32.10382873,35.20616074,32.10379461,35.20614151,32.10394406,35.20613717,13.0301,16.6420
570,32.10390940,35.20624352,32.10389259,35.20622651,32.10390776,35.20623906,0.4589,2.0620
600,32.10395559,35.20644044,32.10394601,35.20640040,32.10387078,35.20634159,13.2674,10.0440
630,32.10395559,35.20644044,32.10395545,35.20643984,32.10383278,35.20644359,13.6741,13.6596
660,32.10393326,35.20655156,32.10393777,35.20652911,32.10379206,35.20654417,15.7333,16.2822
690,32.10387276,35.20665924,32.10388505,35.20663714,32.10375139,35.20664528,13.5746,14.8989
720,32.10389943,35.20675626,32.10389423,35.20673632,32.10371609,35.20675023,20.4167,19.8730
750,32.10389943,35.20675626,32.10389935,35.20675596,32.10367809,35.20685323,26.2811,26.2824
780,32.10389943,35.20675626,32.10389943,35.20675626,32.10363909,35.20695623,34.5753,34.5753
810,32.10389943,35.20675626,32.10389943,35.20675626,32.10360008,35.20705870,43.8613,43.8613
840,32.10327137,35.20699024,32.10339827,35.20694296,32.10356108,35.20716070,36.0348,27.3874
