query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,1,data/processed/frames_v14_1fps/frame_000001.jpg,v13,24879,7.705727126850735,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9972053170204163,840,839,0.9988095238095238,7.705727126850735
v14,31,data/processed/frames_v14_1fps/frame_000002.jpg,v13,24879,10.584161668384652,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9946855902671814,799,793,0.9924906132665833,10.584161668384652
v14,61,data/processed/frames_v14_1fps/frame_000003.jpg,v13,24879,13.147461137161068,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9943768382072449,730,716,0.9808219178082191,13.147461137161068
v14,91,data/processed/frames_v14_1fps/frame_000004.jpg,v13,24879,19.438987817045273,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9918917417526245,621,590,0.9500805152979066,19.438987817045273
v14,121,data/processed/frames_v14_1fps/frame_000005.jpg,v13,24879,29.02566558608148,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,1,0.9891085028648376,490,431,0.8795918367346939,29.02566558608148
v14,151,data/processed/frames_v14_1fps/frame_000006.jpg,v13,24879,39.06546929264645,v13,24789,data/processed/frames_v13_1fps/frame_000828.jpg,5,0.9838136434555054,405,332,0.8197530864197531,39.15886616700602
v14,181,data/processed/frames_v14_1fps/frame_000007.jpg,v13,24819,49.43162548324295,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,2,0.978141725063324,332,276,0.8313253012048193,49.43162548324295
v14,211,data/processed/frames_v14_1fps/frame_000008.jpg,v13,24879,60.0659577744013,v13,24699,data/processed/frames_v13_1fps/frame_000825.jpg,10,0.9685301780700684,291,220,0.7560137457044673,60.157702723340975
v14,241,data/processed/frames_v14_1fps/frame_000009.jpg,v13,23949,169.98116022600587,v13,24669,data/processed/frames_v13_1fps/frame_000824.jpg,2,0.9630832672119141,219,158,0.7214611872146118,70.69131326988175
v14,271,data/processed/frames_v14_1fps/frame_000010.jpg,v13,23949,180.5224186207325,v12,2369,data/processed/frames_v12_1fps/frame_000080.jpg,4,0.9575768709182739,122,39,0.319672131147541,31.730990659187633
v14,301,data/processed/frames_v14_1fps/frame_000011.jpg,v12,2369,40.39740208145336,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,6,0.9572170376777649,204,190,0.9313725490196079,38.55713410286585
v14,331,data/processed/frames_v14_1fps/frame_000012.jpg,v11,24879,42.9273639313522,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,3,0.9539811015129089,165,140,0.8484848484848485,44.78798566245024
v14,361,data/processed/frames_v14_1fps/frame_000013.jpg,v12,421,109.36731346397268,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,6,0.9564914107322693,168,105,0.625,52.98129981183124
v14,391,data/processed/frames_v14_1fps/frame_000014.jpg,v11,23920,11.550863363415672,v13,9203,data/processed/frames_v13_1fps/frame_000308.jpg,8,0.9556608200073242,233,158,0.6781115879828327,58.04148139739423
v14,421,data/processed/frames_v14_1fps/frame_000015.jpg,v13,9472,72.52897490122302,v12,2908,data/processed/frames_v12_1fps/frame_000098.jpg,4,0.9603389501571655,353,156,0.44192634560906513,87.68962958636914
v14,451,data/processed/frames_v14_1fps/frame_000016.jpg,v13,9472,66.73133230721899,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,1,0.9679229259490967,360,163,0.4527777777777778,66.73133230721899
v14,481,data/processed/frames_v14_1fps/frame_000017.jpg,v13,9472,62.302906373031526,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,4,0.9662127494812012,466,218,0.4678111587982833,41.882284330666266
v14,511,data/processed/frames_v14_1fps/frame_000018.jpg,v13,9472,59.668957920306426,v13,9502,data/processed/frames_v13_1fps/frame_000318.jpg,2,0.9710983633995056,517,253,0.48936170212765956,35.88977633347665
v14,541,data/processed/frames_v14_1fps/frame_000019.jpg,v13,9682,49.86661815557262,v13,9532,data/processed/frames_v13_1fps/frame_000319.jpg,5,0.9703958034515381,512,279,0.544921875,13.030109310469735
v14,570,data/processed/frames_v14_1fps/frame_000020.jpg,v13,9652,29.604590450359225,v13,9592,data/processed/frames_v13_1fps/frame_000321.jpg,8,0.9715107083320618,528,297,0.5625,10.10991431158266
v14,600,data/processed/frames_v14_1fps/frame_000021.jpg,v13,9652,20.985784754298972,v13,9622,data/processed/frames_v13_1fps/frame_000322.jpg,5,0.9786436557769775,519,322,0.6204238921001927,13.267476399161204
v14,630,data/processed/frames_v14_1fps/frame_000022.jpg,v13,9652,15.125102971883697,v13,9622,data/processed/frames_v13_1fps/frame_000322.jpg,3,0.9790806770324707,555,375,0.6756756756756757,13.674093695306125
v14,660,data/processed/frames_v14_1fps/frame_000023.jpg,v13,9652,15.733289249367191,v13,9652,data/processed/frames_v13_1fps/frame_000323.jpg,1,0.9899565577507019,629,426,0.6772655007949125,15.733289249367191
v14,690,data/processed/frames_v14_1fps/frame_000024.jpg,v13,9652,22.090827705967797,v13,9682,data/processed/frames_v13_1fps/frame_000324.jpg,2,0.9918641448020935,641,541,0.84399375975039,13.574562289069712
v14,720,data/processed/frames_v14_1fps/frame_000025.jpg,v13,9682,19.43611002854367,v13,9712,data/processed/frames_v13_1fps/frame_000325.jpg,3,0.9815097451210022,617,575,0.9319286871961102,20.41668706999219
v14,750,data/processed/frames_v14_1fps/frame_000026.jpg,v13,9682,28.358617702979814,v13,9772,data/processed/frames_v13_1fps/frame_000327.jpg,7,0.9751916527748108,541,525,0.9704251386321626,44.9359183668378
v14,780,data/processed/frames_v14_1fps/frame_000027.jpg,v13,9682,38.22174520596874,v13,9802,data/processed/frames_v13_1fps/frame_000328.jpg,5,0.9741633534431458,553,545,0.9855334538878843,52.58574253878375
v14,810,data/processed/frames_v14_1fps/frame_000028.jpg,v13,9682,48.376493163553825,v13,9712,data/processed/frames_v13_1fps/frame_000325.jpg,3,0.9771440029144287,496,291,0.5866935483870968,43.86156971009647
v14,840,data/processed/frames_v14_1fps/frame_000029.jpg,v13,9682,58.650106505170754,v12,3298,data/processed/frames_v12_1fps/frame_000111.jpg,7,0.9725977182388306,434,232,0.5345622119815668,42.74054891145532
v14,870,data/processed/frames_v14_1fps/frame_000030.jpg,v13,9682,69.02298767887802,v12,3418,data/processed/frames_v12_1fps/frame_000115.jpg,3,0.9750102162361145,553,294,0.5316455696202531,31.466610179534268
v14,900,data/processed/frames_v14_1fps/frame_000031.jpg,v12,3448,28.381713767644804,v12,3448,data/processed/frames_v12_1fps/frame_000116.jpg,1,0.9779852628707886,543,298,0.5488029465930019,28.381713767644804
v14,930,data/processed/frames_v14_1fps/frame_000032.jpg,v13,18914,92.78122348522429,v12,3448,data/processed/frames_v12_1fps/frame_000116.jpg,4,0.972294807434082,554,297,0.5361010830324909,28.279773258868147
v14,960,data/processed/frames_v14_1fps/frame_000033.jpg,v13,18914,93.55843326044504,v12,3508,data/processed/frames_v12_1fps/frame_000118.jpg,7,0.9723430871963501,579,273,0.47150259067357514,22.477742250688078
v14,990,data/processed/frames_v14_1fps/frame_000034.jpg,v12,3538,20.040586330903167,v12,3568,data/processed/frames_v12_1fps/frame_000120.jpg,4,0.9732959866523743,541,268,0.4953789279112754,21.346755191959957
