query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v12,1,data/processed/frames_v12_1fps/frame_000001.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9769362807273865,10,15.593941164074662,32.10396309646103,35.205262377813085,32.10383368070434,35.20532567228172,15.593941164074662
v12,31,data/processed/frames_v12_1fps/frame_000002.jpg,v11,24849,data/processed/frames_v11_1fps/frame_000830.jpg,0.9688440561294556,10,24.545604482918943,32.104048817813506,35.20526862934028,32.10374080228484,35.20534015579384,34.94522591448071
v12,61,data/processed/frames_v12_1fps/frame_000003.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9671294689178467,10,26.100280231448764,32.10413730704546,35.20526408389237,32.10383368070434,35.20532567228172,34.29486117271543
v12,91,data/processed/frames_v12_1fps/frame_000004.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9665573239326477,10,29.67064230226535,32.10422668881442,35.205269329029406,32.10383368070434,35.20532567228172,44.07090139950715
v12,121,data/processed/frames_v12_1fps/frame_000005.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9579671025276184,10,16.37300651656957,32.10431479300787,35.20528134055172,32.10383368070434,35.20532567228172,53.72008046839886
v12,151,data/processed/frames_v12_1fps/frame_000006.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9576807618141174,10,27.700236591480166,32.10440449052498,35.20529718013502,32.10383368070434,35.20532567228172,63.59903568546805
v12,181,data/processed/frames_v12_1fps/frame_000007.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9531471133232117,10,26.29205186196092,32.10449343582627,35.205311684086006,32.10383368070434,35.20532567228172,73.45544864707631
v12,211,data/processed/frames_v12_1fps/frame_000008.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9562572836875916,10,34.41976941219847,32.10458279300787,35.205321340551734,32.10383368070434,35.20532567228172,83.39180059438137
v12,241,data/processed/frames_v12_1fps/frame_000009.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9642283320426941,10,80.02096007474978,32.10467127829042,35.20533426536827,32.10383368070434,35.20532567228172,93.24445774879779
v12,271,data/processed/frames_v12_1fps/frame_000010.jpg,v13,23230,data/processed/frames_v13_1fps/frame_000776.jpg,0.9595993757247925,10,56.29204414277151,32.104758220060525,35.20536507285158,32.10518397863732,35.20279283519824,247.1452340869044
v12,301,data/processed/frames_v12_1fps/frame_000011.jpg,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,0.9571788907051086,10,64.27875907234623,32.10483341916969,35.20545517383227,32.10383368070434,35.20532567228172,111.95836770826803
v12,331,data/processed/frames_v12_1fps/frame_000012.jpg,v11,21731,data/processed/frames_v11_1fps/frame_000726.jpg,0.966473400592804,10,62.235613485701634,32.10490126714569,35.20554399938639,32.104661846818615,35.2061827843897,65.8693341881312
v12,361,data/processed/frames_v12_1fps/frame_000013.jpg,v11,21731,data/processed/frames_v11_1fps/frame_000726.jpg,0.9676070809364319,10,59.48180805946381,32.104984098069835,35.205578578854805,32.104661846818615,35.2061827843897,67.3282164972145
v12,391,data/processed/frames_v12_1fps/frame_000014.jpg,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,0.9690526127815247,10,57.911019217430145,32.10506707585575,35.205614191869344,32.105014051732184,35.206236161451926,58.94707115093817
v12,421,data/processed/frames_v12_1fps/frame_000015.jpg,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,0.9742705821990967,10,58.02093983013932,32.10515334917709,35.205643252350356,32.105014051732184,35.206236161451926,58.02093983013932
