query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1,32.10449723,35.20438618,32.10448687,35.20440459,32.10455678,35.20442785,7.7057,8.0851
31,32.10449723,35.20438618,32.10447100,35.20442673,32.10457277,35.20445435,10.5841,11.6239
61,32.10449723,35.20438618,32.10445380,35.20445073,32.10455933,35.20450478,13.1473,12.8054
91,32.10449723,35.20438618,32.10442876,35.20448650,32.10452795,35.20458911,19.4386,14.6810
121,32.10449723,35.20438618,32.10440215,35.20453596,32.10449042,35.20469388,29.0251,17.8408
151,32.10449723,35.20438518,32.10436208,35.20459673,32.10444876,35.20479648,39.1581,21.1637
181,32.10449723,35.20438618,32.10431622,35.20466619,32.10440898,35.20489992,49.4307,24.3387
211,32.10449723,35.20438618,32.10426845,35.20474849,32.10437242,35.20500588,60.0648,26.8891
241,32.10449723,35.20438518,32.10421585,35.20484056,32.10433141,35.20510882,70.6900,28.3795
271,32.10421719,35.20488768,32.10416258,35.20494335,32.10429408,35.20521170,31.7305,29.2335
301,32.10405969,35.20497567,32.10410364,35.20506520,32.10425441,35.20531382,38.5567,28.8325
331,32.10405969,35.20497567,32.10404669,35.20519694,32.10421174,35.20541540,44.7873,27.6040
361,32.10383368,35.20532567,32.10399346,35.20533270,32.10417642,35.20552035,42.3401,26.9801
391,32.10390338,35.20570108,32.10394570,35.20547150,32.10413842,35.20562488,27.1336,25.8734
421,32.10346263,35.20588822,32.10390423,35.20561088,32.10410009,35.20572923,72.5289,24.4933
451,32.10346263,35.20588822,32.10387151,35.20574856,32.10406006,35.20583017,66.7313,22.3555
481,32.10366294,35.20606830,32.10384753,35.20588098,32.10402106,35.20593217,41.8822,19.9121
511,32.10366294,35.20606830,32.10383196,35.20600642,32.10398408,35.20603470,35.8898,17.1433
541,32.10382873,35.20616074,32.10382389,35.20612366,32.10394406,35.20613717,13.0301,13.4381
570,32.10390940,35.20624352,32.10381347,35.20622925,32.10390776,35.20623906,0.4589,10.5366
600,32.10395559,35.20644044,32.10380395,35.20633188,32.10387078,35.20634159,13.2674,7.4959
630,32.10395559,35.20644044,32.10379049,35.20643204,32.10383278,35.20644359,13.6741,4.8322
660,32.10393326,35.20655156,32.10377473,35.20652522,32.10379206,35.20654417,15.7333,2.6297
690,32.10387276,35.20665924,32.10374995,35.20661544,32.10375139,35.20664528,13.5746,2.8191
720,32.10389943,35.20675626,32.10372373,35.20670613,32.10371609,35.20675023,20.4167,4.2448
