query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1,32.10383368,35.20532567,32.10407179,35.20557647,32.10396310,35.20526238,15.5939,31.9943
31,32.10383368,35.20532567,32.10411506,35.20561382,32.10404882,35.20526863,24.5456,33.3750
61,32.10383368,35.20532567,32.10415920,35.20565161,32.10413731,35.20526408,34.2948,36.6232
91,32.10383368,35.20532567,32.10420636,35.20569062,32.10422669,35.20526933,44.0709,39.7906
121,32.10383368,35.20532567,32.10425498,35.20573026,32.10431479,35.20528134,53.7201,42.8518
151,32.10383368,35.20532567,32.10430503,35.20577040,32.10440449,35.20529718,63.5990,45.9758
181,32.10383368,35.20532567,32.10435638,35.20581081,32.10449344,35.20531168,73.4554,49.4769
211,32.10448372,35.20617720,32.10441713,35.20585544,32.10458279,35.20532134,81.4545,53.6334
241,32.10457285,35.20617878,32.10447987,35.20590033,32.10467128,35.20533427,80.3854,57.4737
271,32.10466185,35.20618278,32.10454577,35.20594507,32.10475822,35.20536507,77.8499,59.5858
301,32.10475071,35.20619139,32.10461329,35.20598939,32.10483342,35.20545517,70.0304,56.0182
331,32.10475071,35.20619139,32.10468465,35.20603380,32.10490127,35.20554400,63.3054,52.1023
361,32.10492756,35.20620582,32.10475597,35.20607664,32.10498410,35.20557858,59.4803,53.3911
391,32.10492756,35.20620582,32.10484082,35.20612802,32.10506708,35.20561419,57.9096,54.6076
421,32.10492756,35.20620582,32.10492471,35.20617652,32.10515335,35.20564325,58.7011,56.3590
451,32.10501405,35.20623616,32.10500702,35.20622192,32.10525443,35.20560068,65.6262,64.7312
481,32.10501405,35.20623616,32.10508720,35.20626415,32.10535071,35.20551767,77.4253,76.2573
511,32.10501405,35.20623616,32.10516573,35.20630483,32.10543870,35.20547959,85.5817,83.5393
541,32.10501405,35.20623616,32.10524350,35.20634497,32.10552586,35.20546892,92.0882,88.3862
570,32.10550839,35.20648681,32.10532099,35.20638429,32.10561496,35.20549137,94.6125,90.3349
600,32.10550839,35.20648681,32.10539048,35.20641410,32.10569888,35.20556662,89.3233,86.9759
630,32.10560048,35.20648024,32.10545932,35.20644703,32.10577501,35.20564994,80.6673,82.9707
660,32.10560048,35.20648024,32.10553589,35.20648764,32.10586027,35.20568279,80.5651,84.0459
