frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1,0.0,32.10396309646103,35.205262377813085,FIX,32.1040718,35.2055765,31.99,ok,32.104225,35.205303,29.41,103,VPR_FIX,32.1040718,35.2055765,31.99
31,1.0,32.104048817813506,35.20526862934028,FIX,32.1041151,35.2056138,33.38,ok,32.10432,35.205307,30.4,111,VPR_FIX,32.1041151,35.2056138,33.38
61,2.001,32.10413730704546,35.20526408389237,FIX,32.1041592,35.2056516,36.62,ok,32.104412,35.205273,30.59,119,VPR_FIX,32.1041592,35.2056516,36.62
91,3.002,32.10422668881442,35.205269329029406,FIX,32.1042064,35.2056906,39.79,ok,32.104496,35.2053,30.12,98,VPR_FIX,32.1042064,35.2056906,39.79
121,4.003,32.10431479300787,35.20528134055172,FIX,32.104255,35.2057303,42.85,ok,32.104595,35.2053,31.24,100,VPR_FIX,32.104255,35.2057303,42.85
151,5.004,32.10440449052498,35.20529718013502,FIX,32.104305,35.2057704,45.98,ok,32.104675,35.205338,30.36,102,VPR_FIX,32.104305,35.2057704,45.98
181,6.005,32.10449343582627,35.205311684086006,FIX,32.1043564,35.2058108,49.48,ok,32.104782,35.205334,32.19,103,VPR_FIX,32.1043564,35.2058108,49.48
211,7.006,32.10458279300787,35.205321340551734,NO_FIX,32.1044171,35.2058554,53.63,ok,32.104874,35.205357,32.59,20,SAT_FIX,32.104874,35.205357,32.59
241,8.007,32.10467127829042,35.20533426536827,NO_FIX,32.1044799,35.2059003,57.47,ransac_fail,,,,0,VPR_FALLBACK,32.1044799,35.2059003,57.47
271,9.008,32.104758220060525,35.20536507285158,NO_FIX,32.1045458,35.2059451,59.59,ok,32.105038,35.205383,31.19,103,SAT_FIX,32.105038,35.205383,31.19
301,10.008,32.10483341916969,35.20545517383227,NO_FIX,32.1046133,35.2059894,56.02,ok,32.105072,35.205593,29.57,113,SAT_FIX,32.105072,35.205593,29.57
331,11.009,32.10490126714569,35.20554399938639,NO_FIX,32.1046847,35.2060338,52.1,ok,32.105152,35.20564,29.34,108,SAT_FIX,32.105152,35.20564,29.34
361,12.01,32.104984098069835,35.205578578854805,NO_FIX,32.104756,35.2060766,53.39,ok,32.10524,35.20567,29.76,108,SAT_FIX,32.10524,35.20567,29.76
391,13.011,32.10506707585575,35.205614191869344,NO_FIX,32.1048408,35.206128,54.61,ok,32.10532,35.20571,29.57,99,SAT_FIX,32.10532,35.20571,29.57
421,14.012,32.10515334917709,35.205643252350356,NO_FIX,32.1049247,35.2061765,56.36,ok,32.105396,35.205734,28.33,97,SAT_FIX,32.105396,35.205734,28.33
451,15.013,32.1052544329302,35.20560068481506,NO_FIX,32.105007,35.2062219,64.73,ok,32.105526,35.20553,30.96,112,SAT_FIX,32.105526,35.20553,30.96
481,16.014,32.10535071349463,35.205517671349476,NO_FIX,32.1050872,35.2062642,76.26,ok,32.105602,35.205544,28.08,115,SAT_FIX,32.105602,35.205544,28.08
511,17.015,32.105438703981044,35.20547959260059,FIX,32.1051657,35.2063048,83.54,ok,32.10568,35.20546,26.92,109,VPR_FIX,32.1051657,35.2063048,83.54
541,18.016,32.10552585817059,35.20546891884285,FIX,32.1052435,35.206345,88.39,ok,32.10577,35.20551,27.45,112,VPR_FIX,32.1052435,35.206345,88.39
570,18.983,32.10561496385301,35.20549136916193,NO_FIX,32.105321,35.2063843,90.33,ok,32.105858,35.2055,27.07,124,SAT_FIX,32.105858,35.2055,27.07
600,19.984,32.105698883709195,35.20556662139346,NO_FIX,32.1053905,35.2064141,86.98,ok,32.105923,35.2057,27.94,102,SAT_FIX,32.105923,35.2057,27.94
