frame_count,time_s,gt_lat,gt_lon,vpr_decision,vpr_lat,vpr_lon,vpr_error_m,sat_status,sat_lat,sat_lon,sat_error_m,sat_inliers,final_status,final_lat,final_lon,final_error_m
1,0.0,32.10455677694773,35.20442785378902,FIX,32.1044972,35.2043862,7.71,ok,32.104477,35.204582,17.03,70,VPR_FIX,32.1044972,35.2043862,7.71
31,1.0,32.104572768755574,35.204454347381414,FIX,32.1044972,35.2043862,10.58,ok,32.10445,35.20459,18.72,81,VPR_FIX,32.1044972,35.2043862,10.58
61,2.001,32.10455932596225,35.204504779459725,FIX,32.1044972,35.2043862,13.15,ok,32.104435,35.204666,20.56,72,VPR_FIX,32.1044972,35.2043862,13.15
91,3.002,32.104527948686,35.20458910770476,FIX,32.1044972,35.2043862,19.44,ok,32.104397,35.20476,21.73,81,VPR_FIX,32.1044972,35.2043862,19.44
121,4.003,32.10449042019838,35.204693879470966,FIX,32.1044972,35.2043862,29.02,ok,32.104378,35.204857,19.83,75,VPR_FIX,32.1044972,35.2043862,29.02
151,5.004,32.10444876391301,35.20479648235561,FIX,32.1044972,35.2043854,39.14,ok,32.10432,35.204967,21.54,80,VPR_FIX,32.1044972,35.2043854,39.14
181,6.005,32.10440897610566,35.20489992367119,NO_FIX,32.1044972,35.204386,49.45,ok,32.104267,35.20506,21.85,88,SAT_FIX,32.104267,35.20506,21.85
211,7.006,32.104372420198374,35.20500587947097,NO_FIX,32.1044972,35.2043862,60.06,ok,32.104225,35.205196,24.3,84,SAT_FIX,32.104225,35.205196,24.3
241,8.007,32.104331407096986,35.20510882228229,NO_FIX,32.1044972,35.2043854,70.67,ok,32.104183,35.205296,24.18,76,SAT_FIX,32.104183,35.205296,24.18
271,9.008,32.10429408237294,35.20521170277337,NO_FIX,32.1042738,35.2047861,40.19,ok,32.104156,35.205402,23.63,65,SAT_FIX,32.104156,35.205402,23.63
301,10.008,32.10425440709698,35.20531382228229,NO_FIX,32.1040924,35.2049563,38.23,ok,32.104107,35.20551,24.73,73,SAT_FIX,32.104107,35.20551,24.73
331,11.009,32.10421173797127,35.20541540478371,NO_FIX,32.1040602,35.2049754,44.79,ok,32.10407,35.205612,24.34,68,SAT_FIX,32.10407,35.205612,24.34
361,12.01,32.10417641730536,35.20552035407427,NO_FIX,32.1038793,35.2052549,41.47,ok,32.104027,35.20571,24.42,62,SAT_FIX,32.104027,35.20571,24.42
391,13.011,32.10413842019841,35.20562487947099,NO_FIX,32.10389,35.2056241,27.66,ok,32.104,35.205795,22.24,72,SAT_FIX,32.104,35.205795,22.24
421,14.012,32.10410009337327,35.2057292307157,NO_FIX,32.1035515,35.2058492,62.11,ok,32.103962,35.205887,21.39,79,SAT_FIX,32.103962,35.205887,21.39
451,15.013,32.1040600639128,35.205830168334856,NO_FIX,32.103464,35.2058877,66.58,ok,32.10392,35.205994,21.95,82,SAT_FIX,32.10392,35.205994,21.95
481,16.014,32.104021063912825,35.20593216833486,NO_FIX,32.1034626,35.2058882,62.3,ok,32.10388,35.20609,21.64,55,SAT_FIX,32.10388,35.20609,21.64
511,17.015,32.10398408237294,35.206034702773366,NO_FIX,32.1036225,35.2060319,40.26,ok,32.103848,35.20619,21.07,62,SAT_FIX,32.103848,35.20619,21.07
541,18.016,32.10394406391283,35.20613716833487,NO_FIX,32.1037946,35.2061415,16.64,ok,32.103817,35.20626,18.28,60,SAT_FIX,32.103817,35.20626,18.28
570,18.983,32.103907761626324,35.206239057761266,NO_FIX,32.1038926,35.2062265,2.06,ok,32.103783,35.206352,17.5,77,SAT_FIX,32.103783,35.206352,17.5
600,19.984,32.103870780848794,35.20634158824796,NO_FIX,32.103946,35.2064004,10.04,ok,32.103764,35.206425,14.25,71,SAT_FIX,32.103764,35.206425,14.25
630,20.985,32.1038327808488,35.206443588247964,NO_FIX,32.1039555,35.2064398,13.66,ok,32.10372,35.20653,14.97,75,SAT_FIX,32.10372,35.20653,14.97
660,21.986,32.10379206391283,35.20654416833487,FIX,32.1039378,35.2065291,16.28,ok,32.103687,35.206627,14.06,67,VPR_FIX,32.1039378,35.2065291,16.28
690,22.987,32.103751389503906,35.20664528399616,FIX,32.1038851,35.2066371,14.9,ok,32.103653,35.206715,12.77,82,VPR_FIX,32.1038851,35.2066371,14.9
720,23.988,32.103716093373265,35.20675023071569,FIX,32.1038942,35.2067363,19.87,ok,32.103615,35.206818,12.94,79,VPR_FIX,32.1038942,35.2067363,19.87
750,24.989,32.103678093373276,35.206853230715694,FIX,32.1038993,35.206756,26.28,ok,32.103584,35.20691,11.76,71,VPR_FIX,32.1038993,35.206756,26.28
780,25.989,32.10363909337324,35.20695623071568,FIX,32.1038994,35.2067563,34.58,ok,32.103542,35.207024,12.56,83,VPR_FIX,32.1038994,35.2067563,34.58
