frame_count,start_seconds,sat_status,sat_inliers,vpr_triggered,vpr_best_inliers,vpr_best_ratio,source,final_lat,final_lon,error_m,frame_seconds
1,0.0,low_alt,0,True,13,0.52,NO_FIX,,,,0.7458854999858886
31,1.0,low_alt,0,True,18,0.6,NO_FIX,,,,0.42455791705287993
61,2.001,low_alt,0,True,21,0.583,NO_FIX,,,,0.4852064170408994
91,3.002,low_alt,0,True,19,0.633,NO_FIX,,,,0.5350282499566674
121,4.003,low_alt,0,True,30,0.429,NO_FIX,,,,0.7602301250444725
151,5.004,low_alt,0,True,98,0.891,NO_FIX,,,,0.5260268329875544
181,6.005,low_alt,0,True,116,0.789,VPR_FALLBACK,32.10257734876288,35.20971634876288,7.767940490424801,0.49019062507431954
211,7.006,low_alt,0,True,84,0.824,NO_FIX,,,,0.446515875053592
241,8.007,low_alt,0,True,65,0.516,NO_FIX,,,,0.5954474160680547
271,9.008,low_alt,0,True,6,0.316,NO_FIX,,,,0.5179878330091015
301,10.008,low_alt,0,True,8,0.2,NO_FIX,,,,0.527875459054485
331,11.009,low_alt,0,True,8,0.229,NO_FIX,,,,0.3828489169245586
361,12.01,low_alt,0,True,19,0.5,NO_FIX,,,,0.45865099993534386
391,13.011,few_matches,0,True,26,0.565,NO_FIX,,,,0.7688558750087395
421,14.012,few_matches,0,True,34,0.596,NO_FIX,,,,0.8107732500648126
451,15.013,few_matches,0,True,47,0.701,NO_FIX,,,,0.8800627499585971
481,16.014,few_matches,0,True,46,0.648,NO_FIX,,,,0.7572011669399217
511,17.015,few_matches,0,True,48,0.565,NO_FIX,,,,0.9564102499280125
541,18.016,few_matches,0,True,55,0.556,NO_FIX,,,,0.8007659170543775
570,18.983,few_matches,0,True,63,0.618,NO_FIX,,,,0.7760070830117911
600,19.984,few_matches,0,True,59,0.488,NO_FIX,,,,0.9321626659948379
630,20.985,ransac_fail,0,True,50,0.476,NO_FIX,,,,0.9292905000038445
660,21.986,ransac_fail,0,True,52,0.456,NO_FIX,,,,0.7180420000804588
690,22.987,ransac_fail,0,True,49,0.402,NO_FIX,,,,0.9687314589973539
720,23.988,ransac_fail,0,True,60,0.405,NO_FIX,,,,0.8552094160113484
750,24.989,ransac_fail,0,True,61,0.439,NO_FIX,,,,0.9766422919929028
780,25.99,ransac_fail,0,True,72,0.459,NO_FIX,,,,1.038524999981746
810,26.99,ransac_fail,0,True,76,0.469,NO_FIX,,,,0.9802345000207424
840,27.991,ransac_fail,0,True,95,0.579,NO_FIX,,,,0.7665517500136048
870,28.992,ransac_fail,0,True,104,0.581,NO_FIX,,,,0.8132734580431134
900,29.993,ransac_fail,0,True,112,0.605,NO_FIX,,,,0.9374432079494
930,30.994,ransac_fail,0,True,135,0.696,NO_FIX,,,,0.7392513339873403
960,31.995,ransac_fail,0,True,148,0.695,NO_FIX,,,,0.8402753749396652
990,32.996,ransac_fail,0,True,166,0.716,VPR_FALLBACK,32.10227440536679,35.21038863524125,32.54173526321188,0.9233693749411032
1020,33.997,ransac_fail,0,True,190,0.742,VPR_FALLBACK,32.10227440536679,35.210387635241254,31.311163605546657,0.9094612920889631
1050,34.998,ransac_fail,0,True,206,0.752,VPR_FALLBACK,32.10227440536679,35.210387635241254,30.19645125833689,0.8663346669636667
1080,35.999,ransac_fail,0,True,245,0.845,VPR_FALLBACK,32.10227440536679,35.210387635241254,29.149083078478405,0.7957341249566525
1110,36.999,ransac_fail,0,True,265,0.892,VPR_FALLBACK,32.10227440536679,35.210387635241254,28.17656996069284,0.45923262496944517
1140,38.0,ransac_fail,0,True,283,0.91,VPR_FALLBACK,32.10227440536679,35.210387635241254,27.31423693423684,0.5630921249976382
1170,39.001,ransac_fail,0,True,320,0.967,VPR_FALLBACK,32.10227440536679,35.210387635241254,26.512719127169888,0.5646352090407163
1200,40.002,ransac_fail,0,True,331,0.991,VPR_FALLBACK,32.10227440536679,35.210387635241254,25.810611961661948,0.6129966250155121
1230,41.003,ransac_fail,0,True,345,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,25.23363167287175,0.49264262500219047
1260,42.004,ransac_fail,0,True,354,0.994,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.83202778450365,0.5327114580431953
1290,43.005,ransac_fail,0,True,339,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.477536162080217,0.40325887501239777
1320,44.006,ransac_fail,0,True,321,0.994,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.24190512868477,0.5800522089703009
1350,45.007,ransac_fail,0,True,317,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.128617203369817,0.5629876250168309
1380,46.007,ransac_fail,0,True,317,0.991,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.05284488819329,0.4885503340046853
1410,47.008,ransac_fail,0,True,315,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.20266663985948,0.5037963750073686
1440,48.009,ransac_fail,0,True,312,0.997,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.207409446608235,0.4604916659882292
1470,49.01,ransac_fail,0,True,308,0.994,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.21125919926455,0.505788084003143
1500,50.011,ransac_fail,0,True,303,0.993,VPR_FALLBACK,32.10227440536679,35.210387635241254,24.148611528327496,0.5243128329748288
1530,51.012,ransac_fail,0,True,307,0.975,VPR_FALLBACK,32.10227440536679,35.210387635241254,45.33022072494596,0.5587983329314739
